Riboswitch,Class,Number of sequences
RF00504,0,4592
RF01786,1,661
RF01750,2,1674
RF00059,3,12559
RF01057,4,832
RF01725,5,793
RF00162,6,6027
RF00174,7,14212
RF01055,8,1221
RF01727,9,240
RF01482,10,182
RF03057,11,559
RF01734,12,2018
RF00167,13,2632
RF00234,14,936
RF01739,15,1103
RF03072,16,736
RF03058,17,344
RF00380,18,1059
RF00168,19,2240
RF03071,20,265
RF01689,21,212
RF00379,22,3918
RF00634,23,1245
RF01767,24,195
RF00080,25,833
RF02683,26,235
RF00442,27,902
RF00522,28,533
RF00050,29,4080
RF01831,30,663
RF00521,31,819
RF01056,32,42
RF02912,33,29
RF01826,34,20
RF02885,35,15
RF01054,36,69
RF02690,37,37
RF01510,38,18
